threshold,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,seed
0.95,0.7285418257170901,0.9813921433494142,0.46591776638673793,0.6318591924271557,0.008834114952557532,9088,81,4897,4272,45
0.05,0.7451194241465808,0.6643990929705216,0.9906205693096303,0.7953590192644483,0.5003817210164685,4581,4588,86,9083,46
0.1,0.8028683607808922,0.7234830194752937,0.9804776965863234,0.8326001389210466,0.37474097502453924,5733,3436,179,8990,46
0.15,0.8318791580325008,0.7597746286494793,0.970662013305704,0.8523679547957669,0.3069036972407024,6355,2814,269,8900,46
0.2,0.848075035445523,0.7846249888522251,0.9595375722543352,0.8633107643999608,0.26338750136328937,6754,2415,371,8798,46
0.25,0.861762460464609,0.8073573017049667,0.9502672047115279,0.8730023545914534,0.22674228378230996,7090,2079,456,8713,46
0.3,0.8693423492201985,0.8238500525963469,0.939579016250409,0.8779170488127993,0.200894317810012,7327,1842,554,8615,46
0.35,0.8735958119751336,0.8379871731623089,0.9262733122477915,0.8799212598425197,0.17908168829752427,7527,1642,676,8493,46
0.4,0.8773584905660378,0.8516974994917667,0.9138401134256735,0.8816751723049403,0.15912313229359798,7710,1459,790,8379,46
0.45,0.8811211691569418,0.8667996221265876,0.9006434725706184,0.8833975181857082,0.13840113425673464,7900,1269,911,8258,46
0.5,0.8822663322063474,0.8797399783315276,0.8855927582070019,0.8826566661231589,0.1210600937943069,8059,1110,1049,8120,46
0.55,0.8812302323045043,0.8899921901149169,0.8699967281055732,0.8798808735936466,0.1075362634965645,8183,986,1192,7977,46
0.6,0.8800305376813174,0.9011166110279728,0.8537463191187697,0.8767921146953405,0.09368524375613481,8310,859,1341,7828,46
0.65,0.8772494274184753,0.9117857142857143,0.8353146471807177,0.8718766008310092,0.08081579234376704,8428,741,1510,7659,46
0.7,0.8708692332860727,0.9223698919388896,0.8099029337986694,0.8624854819976772,0.06816446722652415,8544,625,1743,7426,46
0.75,0.8629076235140146,0.9335504885993485,0.7814374522848729,0.8507480408454049,0.055622205256843714,8659,510,2004,7165,46
0.8,0.8486748827571163,0.942920476586312,0.7422837823099575,0.8306584487703668,0.04493401679572472,8757,412,2363,6806,46
0.85,0.8302977423928455,0.9560307182653215,0.692441923873923,0.8031625553447186,0.031846439088232086,8877,292,2820,6349,46
0.9,0.795124877303959,0.967519004837595,0.6107536263496565,0.7488132646921174,0.020503871741738466,8981,188,3569,5600,46
0.95,0.7303413676518704,0.9808743169398907,0.4698440396989857,0.6353513752673107,0.009161304395244848,9085,84,4861,4308,46
