arm,seed,n_features,n_train,n_test,auroc,auprc,t50_threshold,t50_accuracy,t50_precision,t50_recall,t50_f1,t50_fpr,t50_tn,t50_fp,t50_fn,t50_tp,tfpr_threshold,tfpr_accuracy,tfpr_precision,tfpr_recall,tfpr_f1,tfpr_fpr,tfpr_tn,tfpr_fp,tfpr_fn,tfpr_tp
drop_perplexity,45,10,66015,18338,0.9250595758484352,0.9172069140152135,0.5,0.8485112880357727,0.8368293454200485,0.8658523284982005,0.8510934819897084,0.16882975242665504,7621,1548,1230,7939,0.8226780772209166,0.7922892354673355,0.9231133564887907,0.6376922237975788,0.7543056182674321,0.05311375286290762,8682,487,3322,5847
only_perplexity,45,6,66015,18338,0.7709215833590073,0.7909831556918119,0.5,0.6966408550550769,0.7213356248465504,0.6408550550768896,0.6787178746751371,0.24757334496673575,6899,2270,3293,5876,0.7350637793540954,0.6553604537026939,0.8668555240793201,0.3671065546951685,0.5157830217591174,0.05638564728978078,8652,517,5803,3366
drop_stylometric,45,10,66015,18338,0.8114976537387445,0.8316442187994028,0.5,0.7267968153560912,0.7583550751646168,0.6657214527211255,0.7090254384945986,0.21212782200894317,7224,1945,3065,6104,0.7386955261230468,0.6866615770531137,0.8953568953568953,0.4227287599520122,0.5743073047858942,0.04940560584578471,8716,453,5293,3876
only_stylometric,45,6,66015,18338,0.9053560556114286,0.8916522978004444,0.5,0.8305158686879703,0.8162370865073568,0.8530919402333952,0.8342576791808873,0.19206020285745445,7408,1761,1347,7822,0.8300781249999998,0.7491547606063911,0.9115474689245181,0.5518595266659396,0.6875,0.05355000545315738,8678,491,4109,5060
drop_distribution,45,12,66015,18338,0.94770568380054,0.9473809554069508,0.5,0.8744137855818519,0.8708945548833189,0.8791580325008179,0.8750067842605156,0.13033046133711418,7974,1195,1108,8061,0.7863553762435913,0.8444759515759624,0.9343969192683262,0.7409750245392082,0.8265206812652068,0.05202312138728324,8692,477,2375,6794
only_distribution,45,4,66015,18338,0.6641507423746109,0.6811834198785296,0.5,0.6121714472679681,0.6385558399568907,0.5169593194459592,0.5713596914175506,0.2926164249100229,6486,2683,4429,4740,0.7295828104019163,0.5838150289017341,0.8145722472370037,0.21703566364925292,0.3427488804684809,0.04940560584578471,8716,453,7179,1990
full_16,46,16,66015,18338,0.9523456492695465,0.9528753609753795,0.5,0.8822663322063474,0.8797399783315276,0.8855927582070019,0.8826566661231589,0.1210600937943069,8059,1110,1049,8120,0.7640690207481384,0.8603446395462973,0.9369214493520233,0.7727124004798779,0.846930846930847,0.05202312138728324,8692,477,2084,7085
drop_perplexity,46,10,66015,18338,0.923711981653126,0.9158893873016216,0.5,0.8471479986912422,0.8352643775015799,0.8648707601701385,0.849809784064727,0.17057476278765404,7605,1564,1239,7930,0.8301167905330655,0.7829098047769658,0.9224755700325733,0.6177336677936526,0.7399568881050362,0.0519140582397208,8693,476,3505,5664
only_perplexity,46,6,66015,18338,0.7655459798823039,0.7867701513069194,0.5,0.6921692660050169,0.721579476861167,0.625804340713273,0.6702879504701829,0.24146580870323917,6955,2214,3431,5738,0.7417522490024566,0.6554695168502563,0.8697795071335928,0.3656887337768568,0.5148955773955773,0.0547497000763442,8667,502,5816,3353
drop_stylometric,46,10,66015,18338,0.8087824880816485,0.8301249633767627,0.5,0.7234703893554368,0.7572827724761426,0.6577598429490675,0.7040214790171015,0.2108190642381939,7236,1933,3138,6031,0.7101325929164886,0.6916784818409859,0.8844891708597681,0.44094230559493947,0.5885007278020379,0.05758534191296761,8641,528,5126,4043
only_stylometric,46,6,66015,18338,0.9042364246861634,0.8915755394038685,0.5,0.8265350638019413,0.8105164903546982,0.8523284982004581,0.8308968156929456,0.19925837059657542,7342,1827,1354,7815,0.8332690775394436,0.7397753299160214,0.9110114040007478,0.5314647180717635,0.671304587408734,0.0519140582397208,8693,476,4296,4873
drop_distribution,46,12,66015,18338,0.9456949918533314,0.9460484470300168,0.5,0.8725597120732904,0.8688984881209503,0.8775220852873814,0.8731889956047534,0.13240266114080051,7955,1214,1123,8046,0.7804411470890044,0.8438215726905879,0.9332142366359764,0.7406478350965209,0.8258543110786818,0.053004689715345187,8683,486,2378,6791
only_distribution,46,4,66015,18338,0.6663048971446734,0.6842528707207824,0.5,0.6157159995637475,0.6408282452880276,0.5265568764314538,0.5780997425612165,0.295124877303959,6463,2706,4341,4828,0.7266727685928345,0.5873050496237321,0.812573213588442,0.22696041007743484,0.3548167092924126,0.052350310829970555,8689,480,7088,2081
